OrderID,DateKey,ProductID,ChannelID,CampaignID,Quantity,UnitPrice,DiscountPct,Revenue,COGS,GrossProfit
ORD-10000,20230101,P005,CH01,,1,26.0,0,26.0,10.25,15.75
ORD-10001,20230101,P009,CH01,,1,120.0,0,120.0,41.02,78.98
ORD-10002,20230101,P009,CH04,,2,120.0,10.0,216.0,84.27,131.73
ORD-10003,20230101,P007,CH01,,2,38.0,10.0,68.4,21.93,46.47
ORD-10004,20230101,P013,CH01,,1,25.0,0,25.0,8.54,16.46
ORD-10005,20230101,P013,CH02,,1,25.0,0,25.0,10.12,14.88
ORD-10006,20230101,P010,CH02,,1,55.0,0,55.0,18.29,36.71
ORD-10007,20230101,P015,CH02,,2,75.0,10.0,135.0,51.55,83.45
ORD-10008,20230101,P014,CH02,,1,18.0,0,18.0,6.95,11.05
ORD-10009,20230101,P013,CH02,,1,25.0,0,25.0,8.25,16.75
ORD-10010,20230101,P005,CH03,,3,26.0,0,78.0,27.73,50.27
ORD-10011,20230101,P011,CH02,,3,29.0,5.0,82.65,31.48,51.17
ORD-10012,20230102,P003,CH04,,1,65.0,0,65.0,22.55,42.45
ORD-10013,20230102,P015,CH04,,2,75.0,5.0,142.5,57.61,84.89
ORD-10014,20230102,P013,CH01,,2,25.0,10.0,45.0,16.21,28.79
ORD-10015,20230102,P002,CH01,,3,34.0,15.0,86.7,30.47,56.23
ORD-10016,20230102,P011,CH03,,3,29.0,5.0,82.65,27.63,55.02
ORD-10017,20230102,P003,CH01,,2,65.0,0,130.0,49.2,80.8
ORD-10018,20230102,P015,CH04,,1,75.0,20.0,60.0,20.03,39.97
ORD-10019,20230102,P008,CH01,,1,28.0,0,28.0,10.72,17.28
ORD-10020,20230102,P013,CH04,,2,25.0,0,50.0,18.98,31.02
ORD-10021,20230102,P008,CH04,,4,28.0,15.0,95.2,30.57,64.63
ORD-10022,20230102,P012,CH01,,3,31.0,10.0,83.7,33.22,50.48
ORD-10023,20230103,P003,CH03,,4,65.0,15.0,221.0,76.54,144.46
ORD-10024,20230103,P009,CH05,,1,120.0,0,120.0,45.9,74.1
ORD-10025,20230103,P014,CH04,,2,18.0,0,36.0,14.27,21.73
ORD-10026,20230103,P009,CH08,,3,120.0,15.0,306.0,116.25,189.75
ORD-10027,20230103,P008,CH01,,3,28.0,15.0,71.4,28.79,42.61
ORD-10028,20230103,P005,CH01,,1,26.0,5.0,24.7,8.1,16.6
ORD-10029,20230103,P012,CH03,,1,31.0,10.0,27.9,11.06,16.84
ORD-10030,20230103,P003,CH04,,3,65.0,0,195.0,72.69,122.31
